r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,261,277,293,309,325,341,357,373,389,405,421,437,453,469,485,501,517,533,549,565,581,597,613,629,645,661,677,693,709,725,741,757,773,789,805,821,837,853,869,885,901,917,933,949,965,981,997,1013,1029,1045,1061,1077,1093,1109,1125,1141,1157,1173,1189,1205,1221,1237,1253,1269,1285,1301,1317,1333,1349,1365,1381,1397,1413,1429,1445,1461,1477,1493,1509,1525,1541,1557,1573,1589
4,13,45,77,109,141,173,205,237,269,301,333,365,397,429,461,493,525,557,589,621,653,685,717,749,781,813,845,877,909,941,973,1005,1037,1069,1101,1133,1165,1197,1229,1261,1293,1325,1357,1389,1421,1453,1485,1517,1549,1581,1613,1645,1677,1709,1741,1773,1805,1837,1869,1901,1933,1965,1997,2029,2061,2093,2125,2157,2189,2221,2253,2285,2317,2349,2381,2413,2445,2477,2509,2541,2573,2605,2637,2669,2701,2733,2765,2797,2829,2861,2893,2925,2957,2989,3021,3053,3085,3117,3149,3181
5,61,125,189,253,317,381,445,509,573,637,701,765,829,893,957,1021,1085,1149,1213,1277,1341,1405,1469,1533,1597,1661,1725,1789,1853,1917,1981,2045,2109,2173,2237,2301,2365,2429,2493,2557,2621,2685,2749,2813,2877,2941,3005,3069,3133,3197,3261,3325,3389,3453,3517,3581,3645,3709,3773,3837,3901,3965,4029,4093,4157,4221,4285,4349,4413,4477,4541,4605,4669,4733,4797,4861,4925,4989,5053,5117,5181,5245,5309,5373,5437,5501,5565,5629,5693,5757,5821,5885,5949,6013,6077,6141,6205,6269,6333,6397
6,29,157,285,413,541,669,797,925,1053,1181,1309,1437,1565,1693,1821,1949,2077,2205,2333,2461,2589,2717,2845,2973,3101,3229,3357,3485,3613,3741,3869,3997,4125,4253,4381,4509,4637,4765,4893,5021,5149,5277,5405,5533,5661,5789,5917,6045,6173,6301,6429,6557,6685,6813,6941,7069,7197,7325,7453,7581,7709,7837,7965,8093,8221,8349,8477,8605,8733,8861,8989,9117,9245,9373,9501,9629,9757,9885,10013,10141,10269,10397,10525,10653,10781,10909,11037,11165,11293,11421,11549,11677,11805,11933,12061,12189,12317,12445,12573,12701
7,221,477,733,989,1245,1501,1757,2013,2269,2525,2781,3037,3293,3549,3805,4061,4317,4573,4829,5085,5341,5597,5853,6109,6365,6621,6877,7133,7389,7645,7901,8157,8413,8669,8925,9181,9437,9693,9949,10205,10461,10717,10973,11229,11485,11741,11997,12253,12509,12765,13021,13277,13533,13789,14045,14301,14557,14813,15069,15325,15581,15837,16093,16349,16605,16861,17117,17373,17629,17885,18141,18397,18653,18909,19165,19421,19677,19933,20189,20445,20701,20957,21213,21469,21725,21981,22237,22493,22749,23005,23261,23517,23773,24029,24285,24541,24797,25053,25309,25565
8,349,861,1373,1885,2397,2909,3421,3933,4445,4957,5469,5981,6493,7005,7517,8029,8541,9053,9565,10077,10589,11101,11613,12125,12637,13149,13661,14173,14685,15197,15709,16221,16733,17245,17757,18269,18781,19293,19805,20317,20829,21341,21853,22365,22877,23389,23901,24413,24925,25437,25949,26461,26973,27485,27997,28509,29021,29533,30045,30557,31069,31581,32093,32605,33117,33629,34141,34653,35165,35677,36189,36701,37213,37725,38237,38749,39261,39773,40285,40797,41309,41821,42333,42845,43357,43869,44381,44893,45405,45917,46429,46941,47453,47965,48477,48989,49501,50013,50525,51037
9,605,1629,2653,3677,4701,5725,6749,7773,8797,9821,10845,11869,12893,13917,14941,15965,16989,18013,19037,20061,21085,22109,23133,24157,25181,26205,27229,28253,29277,30301,31325,32349,33373,34397,35421,36445,37469,38493,39517,40541,41565,42589,43613,44637,45661,46685,47709,48733,49757,50781,51805,52829,53853,54877,55901,56925,57949,58973,59997,61021,62045,63069,64093,65117,66141,67165,68189,69213,70237,71261,72285,73309,74333,75357,76381,77405,78429,79453,80477,81501,82525,83549,84573,85597,86621,87645,88669,89693,90717,91741,92765,93789,94813,95837,96861,97885,98909,99933,100957,101981
10,93,2141,4189,6237,8285,10333,12381,14429,16477,18525,20573,22621,24669,26717,28765,30813,32861,34909,36957,39005,41053,43101,45149,47197,49245,51293,53341,55389,57437,59485,61533,63581,65629,67677,69725,71773,73821,75869,77917,79965,82013,84061,86109,88157,90205,92253,94301,96349,98397,100445,102493,104541,106589,108637,110685,112733,114781,116829,118877,120925,122973,125021,127069,129117,131165,133213,135261,137309,139357,141405,143453,145501,147549,149597,151645,153693,155741,157789,159837,161885,163933,165981,168029,170077,172125,174173,176221,178269,180317,182365,184413,186461,188509,190557,192605,194653,196701,198749,200797,202845
