r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,267,283,299,315,331,347,363,379,395,411,427,443,459,475,491,507,523,539,555,571,587,603,619,635,651,667,683,699,715,731,747,763,779,795,811,827,843,859,875,891,907,923,939,955,971,987,1003,1019,1035,1051,1067,1083,1099,1115,1131,1147,1163,1179,1195,1211,1227,1243,1259,1275,1291,1307,1323,1339,1355,1371,1387,1403,1419,1435,1451,1467,1483,1499,1515,1531,1547,1563,1579,1595
4,19,51,83,115,147,179,211,243,275,307,339,371,403,435,467,499,531,563,595,627,659,691,723,755,787,819,851,883,915,947,979,1011,1043,1075,1107,1139,1171,1203,1235,1267,1299,1331,1363,1395,1427,1459,1491,1523,1555,1587,1619,1651,1683,1715,1747,1779,1811,1843,1875,1907,1939,1971,2003,2035,2067,2099,2131,2163,2195,2227,2259,2291,2323,2355,2387,2419,2451,2483,2515,2547,2579,2611,2643,2675,2707,2739,2771,2803,2835,2867,2899,2931,2963,2995,3027,3059,3091,3123,3155,3187
5,35,99,163,227,291,355,419,483,547,611,675,739,803,867,931,995,1059,1123,1187,1251,1315,1379,1443,1507,1571,1635,1699,1763,1827,1891,1955,2019,2083,2147,2211,2275,2339,2403,2467,2531,2595,2659,2723,2787,2851,2915,2979,3043,3107,3171,3235,3299,3363,3427,3491,3555,3619,3683,3747,3811,3875,3939,4003,4067,4131,4195,4259,4323,4387,4451,4515,4579,4643,4707,4771,4835,4899,4963,5027,5091,5155,5219,5283,5347,5411,5475,5539,5603,5667,5731,5795,5859,5923,5987,6051,6115,6179,6243,6307,6371
6,3,131,259,387,515,643,771,899,1027,1155,1283,1411,1539,1667,1795,1923,2051,2179,2307,2435,2563,2691,2819,2947,3075,3203,3331,3459,3587,3715,3843,3971,4099,4227,4355,4483,4611,4739,4867,4995,5123,5251,5379,5507,5635,5763,5891,6019,6147,6275,6403,6531,6659,6787,6915,7043,7171,7299,7427,7555,7683,7811,7939,8067,8195,8323,8451,8579,8707,8835,8963,9091,9219,9347,9475,9603,9731,9859,9987,10115,10243,10371,10499,10627,10755,10883,11011,11139,11267,11395,11523,11651,11779,11907,12035,12163,12291,12419,12547,12675
7,67,323,579,835,1091,1347,1603,1859,2115,2371,2627,2883,3139,3395,3651,3907,4163,4419,4675,4931,5187,5443,5699,5955,6211,6467,6723,6979,7235,7491,7747,8003,8259,8515,8771,9027,9283,9539,9795,10051,10307,10563,10819,11075,11331,11587,11843,12099,12355,12611,12867,13123,13379,13635,13891,14147,14403,14659,14915,15171,15427,15683,15939,16195,16451,16707,16963,17219,17475,17731,17987,18243,18499,18755,19011,19267,19523,19779,20035,20291,20547,20803,21059,21315,21571,21827,22083,22339,22595,22851,23107,23363,23619,23875,24131,24387,24643,24899,25155,25411
8,451,963,1475,1987,2499,3011,3523,4035,4547,5059,5571,6083,6595,7107,7619,8131,8643,9155,9667,10179,10691,11203,11715,12227,12739,13251,13763,14275,14787,15299,15811,16323,16835,17347,17859,18371,18883,19395,19907,20419,20931,21443,21955,22467,22979,23491,24003,24515,25027,25539,26051,26563,27075,27587,28099,28611,29123,29635,30147,30659,31171,31683,32195,32707,33219,33731,34243,34755,35267,35779,36291,36803,37315,37827,38339,38851,39363,39875,40387,40899,41411,41923,42435,42947,43459,43971,44483,44995,45507,46019,46531,47043,47555,48067,48579,49091,49603,50115,50627,51139
9,707,1731,2755,3779,4803,5827,6851,7875,8899,9923,10947,11971,12995,14019,15043,16067,17091,18115,19139,20163,21187,22211,23235,24259,25283,26307,27331,28355,29379,30403,31427,32451,33475,34499,35523,36547,37571,38595,39619,40643,41667,42691,43715,44739,45763,46787,47811,48835,49859,50883,51907,52931,53955,54979,56003,57027,58051,59075,60099,61123,62147,63171,64195,65219,66243,67267,68291,69315,70339,71363,72387,73411,74435,75459,76483,77507,78531,79555,80579,81603,82627,83651,84675,85699,86723,87747,88771,89795,90819,91843,92867,93891,94915,95939,96963,97987,99011,100035,101059,102083
10,1219,3267,5315,7363,9411,11459,13507,15555,17603,19651,21699,23747,25795,27843,29891,31939,33987,36035,38083,40131,42179,44227,46275,48323,50371,52419,54467,56515,58563,60611,62659,64707,66755,68803,70851,72899,74947,76995,79043,81091,83139,85187,87235,89283,91331,93379,95427,97475,99523,101571,103619,105667,107715,109763,111811,113859,115907,117955,120003,122051,124099,126147,128195,130243,132291,134339,136387,138435,140483,142531,144579,146627,148675,150723,152771,154819,156867,158915,160963,163011,165059,167107,169155,171203,173251,175299,177347,179395,181443,183491,185539,187587,189635,191683,193731,195779,197827,199875,201923,203971
11,2243,6339,10435,14531,18627,22723,26819,30915,35011,39107,43203,47299,51395,55491,59587,63683,67779,71875,75971,80067,84163,88259,92355,96451,100547,104643,108739,112835,116931,121027,125123,129219,133315,137411,141507,145603,149699,153795,157891,161987,166083,170179,174275,178371,182467,186563,190659,194755,198851,202947,207043,211139,215235,219331,223427,227523,231619,235715,239811,243907,248003,252099,256195,260291,264387,268483,272579,276675,280771,284867,288963,293059,297155,301251,305347,309443,313539,317635,321731,325827,329923,334019,338115,342211,346307,350403,354499,358595,362691,366787,370883,374979,379075,383171,387267,391363,395459,399555,403651,407747
12,195,8387,16579,24771,32963,41155,49347,57539,65731,73923,82115,90307,98499,106691,114883,123075,131267,139459,147651,155843,164035,172227,180419,188611,196803,204995,213187,221379,229571,237763,245955,254147,262339,270531,278723,286915,295107,303299,311491,319683,327875,336067,344259,352451,360643,368835,377027,385219,393411,401603,409795,417987,426179,434371,442563,450755,458947,467139,475331,483523,491715,499907,508099,516291,524483,532675,540867,549059,557251,565443,573635,581827,590019,598211,606403,614595,622787,630979,639171,647363,655555,663747,671939,680131,688323,696515,704707,712899,721091,729283,737475,745667,753859,762051,770243,778435,786627,794819,803011,811203
13,4291,20675,37059,53443,69827,86211,102595,118979,135363,151747,168131,184515,200899,217283,233667,250051,266435,282819,299203,315587,331971,348355,364739,381123,397507,413891,430275,446659,463043,479427,495811,512195,528579,544963,561347,577731,594115,610499,626883,643267,659651,676035,692419,708803,725187,741571,757955,774339,790723,807107,823491,839875,856259,872643,889027,905411,921795,938179,954563,970947,987331,1003715,1020099,1036483,1052867,1069251,1085635,1102019,1118403,1134787,1151171,1167555,1183939,1200323,1216707,1233091,1249475,1265859,1282243,1298627,1315011,1331395,1347779,1364163,1380547,1396931,1413315,1429699,1446083,1462467,1478851,1495235,1511619,1528003,1544387,1560771,1577155,1593539,1609923,1626307
