r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,17,49,81,113,145,177,209,241,273,305,337,369,401,433,465,497,529,561,593,625,657,689,721,753,785,817,849,881,913,945,977,1009,1041,1073,1105,1137,1169,1201,1233,1265,1297,1329,1361,1393,1425,1457,1489,1521,1553,1585,1617,1649,1681,1713,1745,1777,1809,1841,1873,1905,1937,1969,2001,2033,2065,2097,2129,2161,2193,2225,2257,2289,2321,2353,2385,2417,2449,2481,2513,2545,2577,2609,2641,2673,2705,2737,2769,2801,2833,2865,2897,2929,2961,2993,3025,3057,3089,3121,3153,3185
5,1,65,129,193,257,321,385,449,513,577,641,705,769,833,897,961,1025,1089,1153,1217,1281,1345,1409,1473,1537,1601,1665,1729,1793,1857,1921,1985,2049,2113,2177,2241,2305,2369,2433,2497,2561,2625,2689,2753,2817,2881,2945,3009,3073,3137,3201,3265,3329,3393,3457,3521,3585,3649,3713,3777,3841,3905,3969,4033,4097,4161,4225,4289,4353,4417,4481,4545,4609,4673,4737,4801,4865,4929,4993,5057,5121,5185,5249,5313,5377,5441,5505,5569,5633,5697,5761,5825,5889,5953,6017,6081,6145,6209,6273,6337
6,97,225,353,481,609,737,865,993,1121,1249,1377,1505,1633,1761,1889,2017,2145,2273,2401,2529,2657,2785,2913,3041,3169,3297,3425,3553,3681,3809,3937,4065,4193,4321,4449,4577,4705,4833,4961,5089,5217,5345,5473,5601,5729,5857,5985,6113,6241,6369,6497,6625,6753,6881,7009,7137,7265,7393,7521,7649,7777,7905,8033,8161,8289,8417,8545,8673,8801,8929,9057,9185,9313,9441,9569,9697,9825,9953,10081,10209,10337,10465,10593,10721,10849,10977,11105,11233,11361,11489,11617,11745,11873,12001,12129,12257,12385,12513,12641,12769
7,161,417,673,929,1185,1441,1697,1953,2209,2465,2721,2977,3233,3489,3745,4001,4257,4513,4769,5025,5281,5537,5793,6049,6305,6561,6817,7073,7329,7585,7841,8097,8353,8609,8865,9121,9377,9633,9889,10145,10401,10657,10913,11169,11425,11681,11937,12193,12449,12705,12961,13217,13473,13729,13985,14241,14497,14753,15009,15265,15521,15777,16033,16289,16545,16801,17057,17313,17569,17825,18081,18337,18593,18849,19105,19361,19617,19873,20129,20385,20641,20897,21153,21409,21665,21921,22177,22433,22689,22945,23201,23457,23713,23969,24225,24481,24737,24993,25249,25505
8,289,801,1313,1825,2337,2849,3361,3873,4385,4897,5409,5921,6433,6945,7457,7969,8481,8993,9505,10017,10529,11041,11553,12065,12577,13089,13601,14113,14625,15137,15649,16161,16673,17185,17697,18209,18721,19233,19745,20257,20769,21281,21793,22305,22817,23329,23841,24353,24865,25377,25889,26401,26913,27425,27937,28449,28961,29473,29985,30497,31009,31521,32033,32545,33057,33569,34081,34593,35105,35617,36129,36641,37153,37665,38177,38689,39201,39713,40225,40737,41249,41761,42273,42785,43297,43809,44321,44833,45345,45857,46369,46881,47393,47905,48417,48929,49441,49953,50465,50977
9,545,1569,2593,3617,4641,5665,6689,7713,8737,9761,10785,11809,12833,13857,14881,15905,16929,17953,18977,20001,21025,22049,23073,24097,25121,26145,27169,28193,29217,30241,31265,32289,33313,34337,35361,36385,37409,38433,39457,40481,41505,42529,43553,44577,45601,46625,47649,48673,49697,50721,51745,52769,53793,54817,55841,56865,57889,58913,59937,60961,61985,63009,64033,65057,66081,67105,68129,69153,70177,71201,72225,73249,74273,75297,76321,77345,78369,79393,80417,81441,82465,83489,84513,85537,86561,87585,88609,89633,90657,91681,92705,93729,94753,95777,96801,97825,98849,99873,100897,101921
10,33,2081,4129,6177,8225,10273,12321,14369,16417,18465,20513,22561,24609,26657,28705,30753,32801,34849,36897,38945,40993,43041,45089,47137,49185,51233,53281,55329,57377,59425,61473,63521,65569,67617,69665,71713,73761,75809,77857,79905,81953,84001,86049,88097,90145,92193,94241,96289,98337,100385,102433,104481,106529,108577,110625,112673,114721,116769,118817,120865,122913,124961,127009,129057,131105,133153,135201,137249,139297,141345,143393,145441,147489,149537,151585,153633,155681,157729,159777,161825,163873,165921,167969,170017,172065,174113,176161,178209,180257,182305,184353,186401,188449,190497,192545,194593,196641,198689,200737,202785
