q,35
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(13, 16)",5,13,29,45,61,77
4,"(5, 32)",5,5,37,69,101,133
5,"(21, 64)",5,21,85,149,213,277
6,"(53, 128)",5,53,181,309,437,565
7,"(245, 256)",5,245,501,757,1013,1269
8,"(373, 512)",5,373,885,1397,1909,2421
9,"(629, 1024)",5,629,1653,2677,3701,4725
10,"(1141, 2048)",5,1141,3189,5237,7285,9333
11,"(2165, 4096)",5,2165,6261,10357,14453,18549
12,"(117, 8192)",5,117,8309,16501,24693,32885
13,"(12405, 16384)",5,12405,28789,45173,61557,77941
14,"(4213, 32768)",5,4213,36981,69749,102517,135285
15,"(53365, 65536)",5,53365,118901,184437,249973,315509
16,"(20597, 131072)",5,20597,151669,282741,413813,544885
17,"(86133, 262144)",5,86133,348277,610421,872565,1134709
18,"(217205, 524288)",5,217205,741493,1265781,1790069,2314357
19,"(1003637, 1048576)",5,1003637,2052213,3100789,4149365,5197941
20,"(1527925, 2097152)",5,1527925,3625077,5722229,7819381,9916533
